Country,Total_Plastic_Waste_MT,Main_Sources,Recycling_Rate,Per_Capita_Waste_KG,Plastic_Waste_Level,Population_Millions,GDP_Billion_USD,Urbanization_Rate,Plastic_Export_MT,Plastic_Import_MT,Government_Policy_Score,Awareness_Index,Industrialization_Level,Waste_to_Recycle_Ratio,High_Risk_Flag,Developed_Country_Flag
UK,11.78,Automotive_Packaging,29.03,48.4,Medium,1362.88,1416.3,33.45,12.81,14.15,8,0.34,0.11,12.98,0,1
India,50.38,Packaging_Consumer,51.77,39.24,High,477.47,18821.49,99.44,5.96,1.02,9,0.97,0.24,13.57,1,0
Mexico,2.05,Packaging_Consumer,39.34,12.63,High,849.58,3776.12,61.6,11.07,8.39,5,0.47,0.1,14.74,1,0
France,10.41,Packaging_Consumer,41.28,120.85,High,251.0,1911.65,94.79,8.96,2.38,8,0.08,0.23,10.08,1,1
Egypt,54.72,Automotive_Packaging,61.67,29.55,Low,1303.89,7916.12,85.53,12.15,12.49,7,0.99,0.87,9.95,0,0
Spain,47.66,Packaging_Electronics,77.37,95.38,Low,710.81,21091.99,90.02,10.33,7.53,1,0.51,0.73,1.64,0,1
Brazil,25.97,Consumer_Goods,29.93,75.8,High,628.57,5593.65,40.23,1.75,5.5,5,0.67,0.2,6.86,1,0
Spain,29.59,Packaging_Consumer,28.38,88.94,Low,391.08,12743.27,42.97,6.16,18.08,8,0.97,0.65,0.95,0,1
Indonesia,52.67,Packaging_Consumer,22.98,138.37,Medium,364.06,3960.12,56.01,10.18,14.15,3,0.64,0.71,4.0,0,0
France,18.54,Packaging_Consumer,34.55,80.81,Medium,224.3,16410.45,78.73,13.17,3.7,5,0.63,0.17,7.01,0,1
Russia,28.82,Industrial_Packaging,43.04,67.88,Low,525.06,12120.6,80.28,12.53,13.32,8,0.44,0.6,11.11,0,0
Germany,57.15,Packaging_Consumer,59.91,141.1,Low,363.26,4306.56,78.84,14.43,10.09,9,0.5,0.37,6.25,0,1
Italy,2.33,Automotive_Packaging,59.31,41.79,Medium,784.86,19353.69,20.77,2.51,19.79,4,0.3,0.65,2.65,0,1
United States,60.68,Consumer_Goods,63.51,79.58,Medium,448.41,2998.1,48.81,3.25,9.65,3,0.71,0.88,1.7,0,1
Brazil,6.02,Packaging_Consumer,6.03,72.7,High,614.74,7363.18,73.92,3.31,9.97,5,0.23,0.75,2.37,1,0
Australia,16.29,Packaging_Electronics,73.86,146.55,Low,745.03,19171.36,44.92,9.78,5.32,8,0.08,0.14,0.4,0,1
UK,9.97,Packaging_Electronics,15.95,98.36,High,1008.98,9924.47,32.6,9.8,5.09,6,0.59,0.86,1.19,1,1
Spain,29.59,Packaging_Consumer,28.38,88.94,Low,391.08,12743.27,42.97,6.16,18.08,8,0.97,0.65,0.95,0,1
South Korea,16.1,Packaging_Consumer,38.17,98.15,High,398.29,19429.9,70.04,9.76,3.55,2,0.08,0.01,1.58,1,1
United States,41.12,Automotive_Packaging,54.29,59.98,Medium,446.36,4322.92,20.26,10.75,9.52,1,0.86,0.69,14.79,0,1
India,60.23,Industrial_Packaging,41.24,134.08,High,872.86,2652.59,75.73,14.04,3.14,9,0.87,0.79,2.21,1,0
Brazil,15.13,Consumer_Goods,24.49,102.6,High,474.74,11704.81,22.24,10.34,8.91,9,0.35,0.64,12.99,1,0
UK,7.45,Packaging_Consumer,40.1,110.61,Low,269.16,7191.39,45.65,4.52,12.94,7,0.06,0.61,14.96,0,1
Australia,30.79,Industrial_Packaging,67.29,84.05,Low,830.42,1385.32,37.35,5.23,17.36,5,0.26,0.18,9.54,0,1
Australia,55.23,Packaging_Consumer,44.27,88.72,Low,579.83,21508.14,48.35,14.57,12.91,7,0.85,0.38,5.39,0,1
Indonesia,44.69,Automotive_Packaging,19.96,141.6,High,1247.71,3331.57,76.69,1.32,2.71,1,0.44,0.35,0.5,1,0
India,47.69,Consumer_Goods,65.29,145.45,High,107.48,18188.99,70.04,8.83,9.4,6,0.26,0.1,11.37,1,0
France,69.46,Industrial_Packaging,23.76,122.04,Medium,731.42,13342.55,31.06,8.17,15.03,6,0.88,0.03,10.81,0,1
Brazil,52.66,Packaging_Electronics,38.47,96.75,Low,1057.58,2419.73,74.9,9.08,18.97,3,0.13,0.87,2.54,0,0
Mexico,10.41,Packaging_Electronics,29.51,46.63,Medium,1125.94,10321.78,80.64,4.0,7.49,2,0.55,0.73,3.5,0,0
Russia,24.72,Industrial_Packaging,61.4,131.5,High,610.25,18661.92,76.03,5.55,7.76,6,0.41,0.9,7.6,1,0
South Korea,33.69,Packaging_Consumer,13.21,22.26,Medium,1152.03,18165.93,32.99,0.64,3.03,8,0.55,0.73,5.73,0,1
United States,29.61,Packaging_Consumer,69.07,136.01,High,921.88,16517.73,20.19,8.3,15.28,4,0.06,0.1,14.81,1,1
Indonesia,39.85,Packaging_Electronics,89.99,33.98,Low,1114.11,2817.94,88.88,7.26,2.74,3,0.8,0.59,4.92,0,0
Russia,13.9,Consumer_Goods,70.28,24.96,Medium,971.25,20745.01,86.32,3.96,19.38,5,0.16,0.17,14.39,0,0
France,32.44,Packaging_Consumer,79.13,41.82,Low,359.92,8977.65,35.82,1.71,16.36,3,0.74,0.35,13.67,0,1
Brazil,11.35,Packaging_Electronics,76.79,32.09,Low,348.17,9812.34,67.63,11.92,19.12,2,0.82,0.88,9.94,0,0
Spain,52.9,Packaging_Electronics,7.09,94.58,Low,282.86,20227.74,66.01,3.52,16.81,1,0.57,0.93,9.11,0,1
United States,25.59,Industrial_Packaging,30.97,16.8,Low,882.45,14743.66,78.67,4.1,10.84,3,0.67,0.49,12.2,0,1
Australia,49.6,Packaging_Consumer,11.17,95.82,Low,639.33,11138.8,30.46,0.51,8.87,9,0.22,0.34,12.23,0,1
Spain,47.66,Packaging_Electronics,77.37,95.38,Low,710.81,21091.99,90.02,10.33,7.53,1,0.51,0.73,1.64,0,1
Turkey,23.97,Industrial_Packaging,61.82,130.67,Low,1241.36,7340.0,25.89,2.7,3.26,5,0.49,0.77,14.37,0,0
Italy,38.65,Packaging_Consumer,39.12,107.49,Low,596.22,16871.73,23.06,5.0,14.85,6,0.05,0.67,8.61,0,1
Turkey,10.55,Packaging_Consumer,69.2,12.77,High,216.66,2237.8,28.66,2.92,13.94,8,0.21,0.81,2.02,1,0
France,56.07,Packaging_Electronics,27.27,136.63,High,831.18,3224.45,69.02,13.34,16.37,2,0.61,0.24,0.91,1,1
China,27.36,Consumer_Goods,17.67,13.6,Medium,222.25,20784.89,82.08,12.52,16.73,5,0.94,0.9,1.15,0,0
Saudi Arabia,10.55,Packaging_Consumer,15.68,52.49,Medium,742.24,10303.29,24.48,8.48,16.78,5,0.03,0.43,10.17,0,0
Canada,24.41,Automotive_Packaging,62.42,112.64,Medium,752.0,14121.85,76.5,12.42,5.48,3,0.3,0.78,2.78,0,1
Italy,2.59,Consumer_Goods,10.24,93.83,Low,890.12,1744.7,21.42,3.05,13.48,7,0.9,0.08,10.22,0,1
France,39.57,Automotive_Packaging,53.51,142.89,Low,1017.94,2924.83,78.64,4.08,0.16,2,0.52,0.51,0.24,0,1
Mexico,18.04,Industrial_Packaging,17.22,127.84,High,463.86,13264.6,52.49,3.93,13.41,9,0.83,0.2,6.37,1,0
Australia,40.65,Industrial_Packaging,88.49,32.48,High,196.76,10024.17,25.51,12.31,6.46,4,0.94,0.34,3.33,1,1
UK,63.53,Packaging_Electronics,89.06,12.63,High,1109.82,16022.04,51.84,8.71,13.17,6,0.12,0.32,6.24,1,1
Brazil,10.89,Packaging_Consumer,86.11,53.02,High,499.73,2608.26,29.26,7.01,15.99,3,0.51,0.64,11.75,1,0
Japan,59.56,Packaging_Electronics,78.79,83.15,Medium,1196.86,3941.69,35.44,8.34,3.05,4,0.2,0.05,4.57,0,1
Brazil,60.95,Industrial_Packaging,49.02,43.13,Low,1251.11,21949.57,37.81,0.87,2.54,5,0.13,0.22,12.26,0,0
Russia,25.09,Industrial_Packaging,23.96,86.8,Low,311.27,4772.16,97.87,1.8,8.85,1,0.59,0.68,2.32,0,0
United States,16.13,Automotive_Packaging,32.85,32.95,Low,290.61,8442.86,51.28,13.57,16.34,9,0.04,0.96,3.6,0,1
UK,12.39,Packaging_Electronics,73.41,130.85,Low,355.73,13409.33,53.68,9.16,14.26,9,0.28,0.75,4.24,0,1
Indonesia,43.84,Industrial_Packaging,49.2,93.79,High,340.75,8842.29,44.23,6.58,4.99,8,0.24,0.26,6.85,1,0
China,30.02,Consumer_Goods,66.33,85.87,Low,1290.49,3579.4,53.97,14.47,1.46,1,0.83,0.61,6.99,0,0
Turkey,54.36,Industrial_Packaging,28.46,44.84,Medium,634.06,16032.3,41.14,11.65,18.77,4,0.98,0.09,8.58,0,0
Brazil,12.05,Industrial_Packaging,75.27,41.82,High,404.12,4131.46,51.46,12.65,14.18,3,0.07,0.9,13.53,1,0
Brazil,48.69,Consumer_Goods,61.15,127.28,Low,1272.63,19273.66,36.38,5.99,2.44,6,0.97,0.5,4.1,0,0
Japan,35.98,Packaging_Electronics,48.56,71.57,Medium,168.03,1944.33,94.18,11.68,15.04,2,0.46,0.82,3.48,0,1
Spain,32.64,Consumer_Goods,59.74,144.5,Low,1129.47,6568.5,84.8,14.36,1.59,1,0.61,0.04,3.68,0,1
Indonesia,14.24,Packaging_Electronics,27.92,61.58,Low,220.81,3894.06,79.44,6.48,5.41,8,0.04,0.06,7.5,0,0
Saudi Arabia,4.93,Packaging_Consumer,61.9,84.13,Medium,615.36,4386.29,33.98,5.48,17.2,7,0.68,0.68,6.05,0,0
China,16.57,Industrial_Packaging,12.64,135.59,Medium,340.11,15331.47,42.16,14.07,13.4,4,0.46,0.88,6.22,0,0
Australia,43.66,Consumer_Goods,33.31,126.5,High,1298.71,3564.76,77.93,4.2,9.15,7,0.22,0.03,2.04,1,1
South Africa,31.88,Packaging_Electronics,15.96,95.28,High,992.91,15301.59,44.66,14.53,8.61,3,0.33,0.71,1.14,1,0
South Africa,30.8,Industrial_Packaging,48.12,51.41,High,919.67,8208.06,20.85,12.24,15.03,9,0.79,0.93,0.4,1,0
Mexico,26.05,Packaging_Consumer,16.83,88.29,High,892.22,150.38,97.91,13.48,4.56,7,0.4,0.42,9.88,1,0
Italy,11.42,Industrial_Packaging,26.33,77.9,Medium,96.9,5564.66,23.21,9.28,7.52,3,0.03,0.43,3.95,0,1
Spain,42.6,Automotive_Packaging,83.98,88.79,High,82.72,10061.11,63.88,12.12,3.29,4,0.9,0.63,12.97,1,1
Egypt,54.72,Automotive_Packaging,61.67,29.55,Low,1303.89,7916.12,85.53,12.15,12.49,7,0.99,0.87,9.95,0,0
UK,45.97,Packaging_Electronics,49.73,21.59,Low,1284.17,7843.1,26.15,14.56,6.34,1,0.14,0.22,0.97,0,1
Germany,59.85,Consumer_Goods,51.61,74.69,Low,686.19,1110.54,99.42,9.04,4.28,2,0.64,0.14,7.37,0,1
Canada,2.79,Consumer_Goods,74.58,41.63,Medium,250.35,13891.01,22.78,2.61,7.91,4,0.51,1.0,13.13,0,1
Indonesia,49.47,Packaging_Electronics,50.16,18.99,High,198.72,20290.15,39.18,7.42,3.99,9,0.88,0.59,10.38,1,0
Mexico,32.27,Industrial_Packaging,49.02,135.06,High,741.76,8742.71,99.87,4.7,9.68,9,0.41,0.19,2.04,1,0
Russia,29.81,Consumer_Goods,57.92,118.35,High,836.16,16860.01,50.15,12.48,10.65,1,0.81,0.88,2.16,1,0
India,35.13,Industrial_Packaging,83.02,109.74,High,1155.48,8557.1,29.76,11.0,13.63,2,0.88,0.12,14.65,1,0
China,15.04,Industrial_Packaging,81.16,74.56,High,434.98,16536.26,83.29,9.65,6.33,1,0.32,0.16,2.08,1,0
China,38.74,Packaging_Consumer,61.62,149.85,Low,467.0,9968.47,77.35,2.41,7.18,5,0.94,0.49,10.64,0,0
South Korea,30.85,Industrial_Packaging,36.17,129.83,Medium,870.01,5914.22,44.99,1.42,19.02,9,0.03,0.95,6.82,0,1
Indonesia,28.29,Industrial_Packaging,15.43,39.42,High,891.98,5810.16,80.24,8.72,7.45,4,0.45,0.86,8.89,1,0
Turkey,2.7,Consumer_Goods,69.79,63.71,Medium,446.37,20637.16,32.92,14.69,3.52,3,0.7,0.28,10.01,0,0
United States,27.38,Consumer_Goods,6.03,85.37,Medium,350.53,14625.16,89.84,5.14,2.36,7,0.36,0.36,4.52,0,1
Egypt,14.81,Packaging_Electronics,13.3,126.19,Low,915.35,10187.1,63.01,6.54,1.59,7,0.04,0.38,5.38,0,0
India,41.6,Packaging_Electronics,70.38,20.71,Medium,1101.7,2916.59,68.05,2.93,18.48,9,0.33,0.26,10.58,0,0
Indonesia,60.21,Packaging_Consumer,21.95,103.36,High,1268.56,8924.72,50.26,5.29,3.05,8,0.27,0.75,5.36,1,0
Mexico,66.9,Industrial_Packaging,83.75,91.08,High,1357.03,19801.94,77.85,4.76,9.75,2,0.37,0.18,10.43,1,0
Canada,30.49,Packaging_Electronics,82.34,125.83,High,260.8,18021.08,60.68,0.56,14.31,8,0.89,0.56,14.2,1,1
Russia,44.44,Industrial_Packaging,37.58,96.11,Low,834.35,17035.39,75.19,1.62,13.41,5,0.62,0.48,9.32,0,0
UK,39.69,Industrial_Packaging,39.84,38.88,High,1135.84,19602.05,35.66,5.79,9.73,3,0.01,0.18,11.06,1,1
Egypt,7.04,Industrial_Packaging,60.42,60.05,Low,1392.31,10180.43,24.33,11.97,8.85,4,0.06,0.14,6.15,0,0
Brazil,18.0,Automotive_Packaging,64.19,137.19,Medium,1388.94,18139.81,69.67,4.38,7.2,2,0.22,0.64,6.52,0,0
UK,63.53,Packaging_Electronics,89.06,12.63,High,1109.82,16022.04,51.84,8.71,13.17,6,0.12,0.32,6.24,1,1
Canada,53.97,Packaging_Consumer,43.2,56.69,Low,730.5,12052.24,23.59,6.7,5.37,7,0.31,0.78,0.72,0,1
UK,17.44,Industrial_Packaging,35.75,119.09,High,37.27,8699.27,48.78,6.67,16.3,2,0.55,0.17,9.5,1,1
China,57.43,Industrial_Packaging,59.5,28.91,Medium,681.08,5043.72,38.8,12.77,11.08,4,0.08,0.54,2.69,0,0
Turkey,21.17,Consumer_Goods,28.6,70.43,High,905.87,21513.57,53.77,5.36,17.66,9,0.6,0.31,0.82,1,0
Canada,29.98,Packaging_Electronics,10.44,93.67,High,1396.33,9255.59,48.83,2.95,3.64,6,0.93,0.47,14.99,1,1
Saudi Arabia,25.2,Automotive_Packaging,22.13,99.43,Medium,858.54,7101.2,87.04,13.4,4.0,1,0.46,0.81,7.83,0,0
Spain,26.26,Industrial_Packaging,84.79,109.55,Low,706.14,173.35,64.83,9.49,11.69,7,0.89,0.27,2.24,0,1
Russia,43.48,Packaging_Consumer,20.27,109.18,Low,186.08,5829.02,85.62,0.29,3.08,2,0.97,0.72,4.07,0,0
Indonesia,63.99,Consumer_Goods,40.25,39.85,Low,166.15,2595.71,96.23,5.11,5.96,3,0.92,0.96,14.77,0,0
France,2.3,Industrial_Packaging,38.85,112.27,Low,222.61,7293.47,75.27,9.88,15.8,5,0.25,0.98,7.22,0,1
Saudi Arabia,27.03,Industrial_Packaging,18.96,126.76,Medium,520.67,11050.67,41.36,14.63,10.64,5,0.87,0.63,12.03,0,0
South Korea,63.25,Packaging_Electronics,57.45,143.04,High,770.55,7669.94,74.99,2.92,13.32,5,0.26,0.32,12.15,1,1
Mexico,26.29,Industrial_Packaging,89.45,125.52,Low,384.62,14387.41,89.03,10.29,4.71,2,0.41,0.16,8.78,0,0
Canada,1.01,Industrial_Packaging,12.62,38.52,High,572.55,15697.53,64.61,13.68,6.7,8,0.81,0.25,4.97,1,1
UK,17.72,Consumer_Goods,25.41,133.2,Low,44.9,21553.03,33.86,6.78,8.95,7,0.32,0.44,13.74,0,1
Spain,44.73,Consumer_Goods,32.85,111.67,Low,984.57,428.27,70.72,13.54,15.52,9,0.07,0.71,4.16,0,1
South Korea,39.76,Packaging_Consumer,28.59,46.87,Low,137.49,13563.04,26.32,8.21,16.66,9,0.71,0.3,10.22,0,1
Brazil,31.33,Packaging_Electronics,64.92,82.97,Low,338.52,18006.55,86.93,8.06,7.49,8,0.58,0.73,0.54,0,0
South Korea,41.13,Packaging_Electronics,84.06,118.06,Low,1218.55,14070.92,26.34,13.84,7.89,2,0.7,0.14,14.4,0,1
South Korea,24.4,Consumer_Goods,21.2,88.82,Low,617.94,2415.89,33.37,6.89,8.76,3,0.28,0.26,12.84,0,1
UK,14.16,Industrial_Packaging,80.94,148.59,Medium,864.06,18487.22,97.48,11.97,12.83,1,0.86,0.29,2.4,0,1
South Korea,7.64,Packaging_Consumer,39.74,12.02,Medium,834.95,11470.24,62.03,5.1,3.85,8,0.96,0.64,5.37,0,1
Saudi Arabia,58.25,Packaging_Electronics,44.11,86.33,Medium,559.26,13220.22,67.41,2.54,2.0,7,0.75,0.47,0.51,0,0
United States,63.71,Consumer_Goods,46.38,134.58,Low,596.67,1436.53,31.19,9.9,8.63,5,0.28,0.68,14.64,0,1
Russia,67.7,Industrial_Packaging,68.14,32.25,High,411.19,3307.81,28.35,11.89,0.25,7,0.33,0.51,10.79,1,0
Japan,63.63,Automotive_Packaging,68.35,121.65,Low,1139.14,148.72,43.53,14.78,11.67,6,0.21,0.16,7.05,0,1
Spain,6.79,Consumer_Goods,62.38,35.99,Low,366.04,1989.12,70.83,6.52,10.3,5,0.93,0.98,11.0,0,1
Saudi Arabia,62.48,Consumer_Goods,59.62,80.31,Medium,1396.39,13909.83,31.88,6.32,7.76,9,0.63,0.96,7.19,0,0
Canada,33.67,Packaging_Electronics,11.3,31.54,Medium,79.71,16393.39,53.56,10.57,13.38,8,0.33,0.75,8.0,0,1
Italy,37.91,Industrial_Packaging,57.14,43.39,Medium,1092.73,8136.46,42.33,9.43,2.18,5,0.6,0.43,3.95,0,1
India,47.7,Automotive_Packaging,22.02,24.46,High,427.5,10398.31,47.39,10.68,5.39,8,0.06,0.78,5.87,1,0
Russia,30.12,Packaging_Consumer,21.59,10.44,High,834.88,15014.26,63.52,11.87,1.66,9,0.71,0.22,1.91,1,0
UK,26.93,Industrial_Packaging,15.38,87.94,Medium,185.02,1160.24,99.55,11.19,4.48,5,0.7,0.34,0.27,0,1
South Korea,57.04,Consumer_Goods,52.77,46.15,Low,1147.75,11104.88,88.81,1.95,16.28,3,0.89,0.58,12.97,0,1
France,2.3,Industrial_Packaging,38.85,112.27,Low,222.61,7293.47,75.27,9.88,15.8,5,0.25,0.98,7.22,0,1
Egypt,14.81,Packaging_Electronics,13.3,126.19,Low,915.35,10187.1,63.01,6.54,1.59,7,0.04,0.38,5.38,0,0
Germany,1.33,Consumer_Goods,64.58,84.42,Medium,576.17,1677.66,71.88,14.21,4.71,6,0.66,0.13,7.04,0,1
Canada,52.44,Packaging_Consumer,60.65,102.79,Medium,96.85,7183.55,98.42,8.95,17.62,7,0.24,0.89,13.92,0,1
China,27.06,Automotive_Packaging,68.54,57.98,Low,251.32,8225.1,50.06,0.95,2.46,1,0.26,0.03,11.92,0,0
Saudi Arabia,27.03,Industrial_Packaging,18.96,126.76,Medium,520.67,11050.67,41.36,14.63,10.64,5,0.87,0.63,12.03,0,0
Japan,36.01,Automotive_Packaging,22.4,60.03,Low,263.35,16038.2,94.86,8.29,7.72,2,0.59,0.92,5.82,0,1
India,14.72,Packaging_Consumer,55.12,127.53,Medium,820.36,16736.66,66.77,2.8,1.26,2,0.98,0.33,1.35,0,0
China,19.83,Consumer_Goods,48.87,92.69,High,598.28,2279.86,78.67,8.56,14.57,3,0.64,0.54,0.23,1,0
France,17.11,Consumer_Goods,46.41,68.72,High,1074.5,9624.42,44.36,4.61,5.02,6,0.56,0.85,10.83,1,1
India,41.6,Packaging_Electronics,70.38,20.71,Medium,1101.7,2916.59,68.05,2.93,18.48,9,0.33,0.26,10.58,0,0
Canada,69.22,Packaging_Consumer,54.99,77.79,Medium,884.72,6772.4,80.68,4.47,8.14,9,0.83,0.96,6.89,0,1
China,31.97,Packaging_Consumer,53.86,41.43,Low,743.14,17917.07,47.24,8.5,5.2,5,0.81,0.55,9.57,0,0
China,6.3,Automotive_Packaging,45.77,137.35,Medium,1009.56,13931.99,23.89,0.58,8.88,2,0.43,0.97,1.36,0,0
India,57.08,Consumer_Goods,58.05,127.96,Medium,1162.45,10063.97,81.33,2.25,5.13,5,0.49,0.33,10.1,0,0
Saudi Arabia,46.16,Industrial_Packaging,65.59,124.75,Medium,957.14,7755.95,54.14,11.05,18.3,3,0.42,0.41,12.71,0,0
Brazil,13.48,Automotive_Packaging,79.8,139.5,High,1360.05,13664.06,42.52,3.69,2.35,8,0.12,0.19,1.8,1,0
Italy,23.32,Industrial_Packaging,78.8,60.38,Low,14.28,1647.87,30.33,8.31,11.21,5,0.38,0.77,13.45,0,1
Germany,29.0,Industrial_Packaging,27.62,56.75,High,1194.28,14664.47,56.1,6.15,16.7,9,0.22,0.93,10.92,1,1
South Africa,13.78,Automotive_Packaging,86.92,83.52,High,793.39,18778.01,69.58,13.95,14.51,6,0.17,0.7,6.97,1,0
India,2.67,Consumer_Goods,39.18,125.83,Medium,1133.08,9498.58,71.09,11.49,14.46,8,0.31,0.53,9.34,0,0
Italy,24.33,Industrial_Packaging,30.68,40.79,Low,1152.03,14676.5,91.65,10.15,2.88,5,0.95,0.26,3.36,0,1
Turkey,52.04,Packaging_Consumer,53.89,58.71,High,771.6,6784.29,35.81,14.93,17.85,8,0.73,0.58,14.0,1,0
China,32.38,Industrial_Packaging,19.42,79.05,Low,124.47,5952.59,69.97,1.57,3.71,2,0.22,0.17,0.45,0,0
Mexico,11.68,Automotive_Packaging,34.73,95.59,High,940.11,12605.54,38.14,11.49,8.15,4,0.07,0.44,1.77,1,0
UK,17.81,Consumer_Goods,70.05,22.39,Low,396.08,6100.59,28.48,2.24,17.95,7,0.98,0.0,14.97,0,1
France,60.18,Packaging_Consumer,67.88,52.83,High,1193.82,2290.38,64.02,3.26,4.05,6,0.98,0.31,2.22,1,1
Italy,30.17,Packaging_Electronics,86.09,130.5,High,113.15,13103.94,34.67,12.84,11.01,9,0.09,0.91,9.9,1,1
South Korea,57.04,Consumer_Goods,52.77,46.15,Low,1147.75,11104.88,88.81,1.95,16.28,3,0.89,0.58,12.97,0,1
Spain,18.99,Packaging_Electronics,47.99,140.91,Low,66.41,15424.34,83.34,1.25,13.7,5,0.06,0.09,1.94,0,1
Australia,31.42,Industrial_Packaging,14.9,55.77,High,609.2,17648.89,67.6,1.76,18.43,1,0.02,0.18,14.36,1,1
Italy,3.89,Consumer_Goods,40.99,98.83,Low,923.03,10482.12,27.38,1.08,2.49,1,0.18,0.76,13.37,0,1
France,61.01,Automotive_Packaging,57.38,85.93,Low,820.03,8437.55,26.94,6.64,0.97,5,0.23,0.99,12.24,0,1
China,55.53,Industrial_Packaging,78.02,140.88,High,263.95,19321.96,68.65,4.5,12.18,8,0.21,0.48,8.93,1,0
France,60.86,Industrial_Packaging,26.24,109.63,Low,1373.84,2329.62,36.62,8.73,7.27,6,0.72,0.53,10.91,0,1
Spain,31.38,Automotive_Packaging,39.45,89.18,Medium,356.0,8975.56,91.71,2.17,0.79,2,0.28,1.0,5.19,0,1
Germany,24.01,Industrial_Packaging,63.65,53.63,Medium,826.84,14135.36,77.63,14.42,0.62,5,0.47,0.36,5.64,0,1
Spain,68.55,Packaging_Electronics,35.56,111.77,Low,539.34,7323.19,50.36,1.19,16.23,7,0.15,0.79,14.12,0,1
South Korea,16.1,Packaging_Consumer,38.17,98.15,High,398.29,19429.9,70.04,9.76,3.55,2,0.08,0.01,1.58,1,1
China,54.45,Automotive_Packaging,10.31,72.44,High,1367.19,8923.5,29.06,5.49,15.36,6,0.99,0.94,5.9,1,0
Canada,16.39,Packaging_Electronics,50.04,106.29,Medium,1346.99,5293.5,66.12,4.38,15.51,9,0.43,0.84,8.47,0,1
Mexico,37.54,Packaging_Electronics,52.29,121.8,Low,269.6,18550.91,38.15,3.77,14.1,5,0.8,0.01,9.06,0,0
Saudi Arabia,15.38,Consumer_Goods,16.47,145.53,Low,428.38,20165.77,65.69,5.0,18.28,4,0.57,0.9,5.01,0,0
Canada,45.65,Industrial_Packaging,32.63,47.96,Medium,758.73,6767.68,52.41,9.89,16.88,7,0.32,0.8,0.61,0,1
UK,53.77,Consumer_Goods,35.73,48.88,High,1128.25,10442.18,51.09,11.53,5.48,8,0.63,0.88,12.19,1,1
Brazil,11.33,Packaging_Electronics,34.98,23.79,Low,399.59,18859.65,57.65,3.46,10.32,8,0.42,0.56,13.87,0,0
Italy,30.23,Packaging_Consumer,12.57,137.19,Low,648.45,9895.48,25.4,9.25,15.47,5,0.88,0.73,14.98,0,1
Turkey,56.48,Consumer_Goods,24.05,52.19,Low,304.38,6822.31,55.69,5.88,12.01,8,0.05,0.49,14.62,0,0
Germany,26.07,Packaging_Consumer,76.61,109.98,Medium,33.66,9677.77,88.63,8.76,18.92,7,0.08,0.37,4.56,0,1
South Africa,58.91,Packaging_Electronics,20.79,136.81,Medium,375.76,15146.72,40.9,11.06,4.98,8,0.93,0.7,11.25,0,0
UK,52.24,Packaging_Consumer,58.17,140.7,High,5.89,6735.11,91.52,9.29,11.21,9,0.76,0.96,6.71,1,1
Brazil,7.67,Industrial_Packaging,62.71,130.82,Medium,1398.85,1887.17,76.45,13.68,2.49,4,0.42,0.63,0.5,0,0
Saudi Arabia,60.07,Industrial_Packaging,77.72,120.49,Low,80.38,11040.74,47.53,8.78,19.2,9,0.57,0.62,12.46,0,0
Russia,30.12,Packaging_Consumer,21.59,10.44,High,834.88,15014.26,63.52,11.87,1.66,9,0.71,0.22,1.91,1,0
China,13.28,Industrial_Packaging,80.95,19.75,High,1047.21,8444.06,32.48,14.33,8.58,3,0.04,0.35,14.64,1,0
Mexico,51.22,Automotive_Packaging,47.44,113.2,Low,1199.86,5339.39,46.77,2.48,7.77,4,0.35,0.08,14.47,0,0
Japan,38.39,Packaging_Consumer,45.48,32.72,Low,1166.2,11325.13,89.83,12.02,17.82,6,0.98,0.36,12.13,0,1
Russia,27.34,Automotive_Packaging,10.76,11.61,High,1294.77,10039.95,40.53,4.99,11.5,9,0.77,0.39,0.1,1,0
Germany,26.08,Packaging_Electronics,78.71,120.63,Low,592.2,13226.82,44.38,2.16,0.56,6,0.94,0.84,2.19,0,1
Italy,67.05,Packaging_Consumer,68.26,28.58,High,672.59,7698.94,80.63,2.39,1.17,7,0.79,0.56,13.56,1,1
Spain,2.45,Packaging_Consumer,36.81,28.5,Low,482.73,15114.78,95.65,8.54,18.55,9,0.82,0.95,6.44,0,1
Egypt,1.28,Automotive_Packaging,77.87,39.15,Low,586.34,15362.27,35.92,2.19,13.99,5,0.37,0.85,10.95,0,0
Mexico,62.38,Packaging_Consumer,89.8,57.02,Low,878.15,12128.17,43.76,3.19,1.75,6,0.89,0.51,7.39,0,0
South Africa,34.99,Packaging_Electronics,60.51,127.63,Medium,100.6,20283.71,75.4,11.6,9.55,4,0.01,0.71,12.83,0,0
Australia,67.15,Consumer_Goods,84.64,88.04,High,1203.07,9809.06,61.67,11.22,2.2,1,0.09,0.99,8.74,1,1
France,11.54,Packaging_Electronics,69.84,82.01,Medium,37.26,1496.12,43.09,4.59,4.3,2,0.84,0.13,4.36,0,1
South Korea,14.91,Automotive_Packaging,7.21,95.59,Medium,1083.86,16433.31,31.14,8.3,15.95,8,0.81,0.95,1.4,0,1
Spain,29.59,Packaging_Consumer,28.38,88.94,Low,391.08,12743.27,42.97,6.16,18.08,8,0.97,0.65,0.95,0,1
Italy,17.35,Automotive_Packaging,30.11,42.24,Medium,929.66,10113.18,89.42,4.76,12.24,8,0.86,0.92,13.44,0,1
